type,location,mid,lo,hi,Arm
model,Cambodia,0.000426222917167915,0.000250344015484634,0.000684994170931496,SOC
model,Cameroon,0.00169766424936761,0.000966379108503685,0.00276522789369222,SOC
model,Côte d'Ivoire,0.000107124213466776,4.50771617883869e-05,0.000223395710433356,SOC
model,Mozambique,0.00166645360782047,0.00137793888802508,0.00200616975578108,SOC
model,Sierra Leone,0.00105664081958227,0.000778073827890517,0.0014221414215525,SOC
model,Uganda,0.000495035417471621,0.000334899936349849,0.000704458955711601,SOC
model,All,0.000763393529526997,0.000231951395582699,0.00290436390519447,SOC
model,Cambodia,0.000667622115599978,0.000305909746858638,0.00127208006807157,IPH
model,Cameroon,0.00229845649355943,0.00115786843193408,0.00430160248978205,IPH
model,Côte d'Ivoire,0.000960943403053325,0.000603638530071,0.00143373947004473,IPH
model,Mozambique,0.00144830526458379,0.0010453162895644,0.00196564538075144,IPH
model,Sierra Leone,0.00272511289441471,0.00163313677011373,0.00429712362594942,IPH
model,Uganda,0.000708248592112693,0.000447272813930395,0.00106031266272295,IPH
model,All,0.00138340477964543,0.000678939184181613,0.00340672873151563,IPH
model,Cambodia,0.00163944758564432,0.000942181891186708,0.00262411952907902,IDH
model,Cameroon,0.00514669961807216,0.00334023056168213,0.00787860976305103,IDH
model,Côte d'Ivoire,0.00396514587885439,0.00311527427584506,0.00501202064051712,IDH
model,Mozambique,0.00379947472951931,0.00284347060651138,0.00495316641531479,IDH
model,Sierra Leone,0.00474921017627087,0.00401892244423179,0.00560669435401953,IDH
model,Uganda,0.00137940961291013,0.000925329866964197,0.00199677037781752,IDH
model,All,0.0032682492901326,0.00165813142499367,0.00688927625386702,IDH
